"nct_id","title","subject","author","status","last_update","city","state","facility","study_url"
"NCT07210411","Acute and Chronic Repercussion of Spinal Cord Stimulation After Spinal Cord Injury","Spinal Cord Injuries","Mayo Clinic","RECRUITING","2026-03-09","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT07210411"
"NCT07456852","Vasodilator Therapy With Isosorbide Mononitrate or Diltiazem to Reduce Vasotoxicity in Patients With Gastrointestinal Cancer Receiving Fluoropyrimidine Therapy","Malignant Digestive System Neoplasm","Mayo Clinic","NOT_YET_RECRUITING","2026-03-09","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07456852"
"NCT06220396","CArdioMEtabolic Function and Reserve Capacity in Healthy Adults: The CAMERA Study","Healthy","Mayo Clinic","RECRUITING","2026-03-05","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06220396"
"NCT06580158","AI in Outpatient Practice for Diagnosing Aortic Stenosis and Diastolic Dysfunction","Aortic Stenosis; Diastolic Dysfunction","Mayo Clinic","RECRUITING","2026-03-04","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT06580158"
"NCT06846359","Treatment of Upper Gastrointestinal Symptoms Using Hypnotherapy Sessions","GI Symptoms","Mayo Clinic","RECRUITING","2026-03-04","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT06846359"
"NCT04703244","Development of Patient Derived Xenografts (PDX) in Patients With Breast Cancer","Breast Cancer; Residual","Mayo Clinic","RECRUITING","2026-03-03","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT04703244"
"NCT07095504","A Study of Cardiac Rehabilitation Intervention to Improve Cardiovascular Health and Outcomes","Cardiovascular Health","Mayo Clinic","ACTIVE_NOT_RECRUITING","2026-02-27","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT07095504"
"NCT06217874","Collection of Specimens and Clinical Data for Patients With Recurrent or Metastatic Breast Cancer or Male Breast Cancer","Breast Carcinoma; Metastatic Breast Carcinoma; Recurrent Breast Carcinoma","Mayo Clinic","RECRUITING","2026-02-25","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06217874"
"NCT05782140","ALgorithms Adapted From Remote Monitoring","Surgery","Mayo Clinic","TERMINATED","2026-02-24","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT05782140"
"NCT05992883","NSAID Injection Versus Corticosteroid Injection for Basilar Thumb Arthritis","Thumb Osteoarthritis","Mayo Clinic","RECRUITING","2026-02-23","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT05992883"
"NCT06037863","Evaluation of the Impact of Empty Versus Full Bladder in Patients With Prostate Cancer, RELIEF Trial","Prostate Carcinoma","Mayo Clinic","ACTIVE_NOT_RECRUITING","2026-02-23","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06037863"
"NCT05557162","Artificial Intelligence Enhanced ECG to Detect Cardiac Amyloidosis","Cardiac Amyloidosis","Mayo Clinic","COMPLETED","2026-02-17","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT05557162"
"NCT07291024","A Study Of Vagus Nerve Stimulation (VNS) With Mobility Training For Gait Recovery After Chronic Ischemic Stroke","Ischemic Stroke","Mayo Clinic","RECRUITING","2026-02-17","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07291024"
"NCT07407959","Screening and Staging of Benign vs Malignant Pelvic Abnormalities","Endometrial Carcinoma; Prostate Carcinoma","Mayo Clinic","RECRUITING","2026-02-17","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07407959"
"NCT07071051","Exploring the Effect of Calaspargase Pegol on the Coagulation System in Pediatric Acute Lymphoblastic Leukemia (ALL) Patients: Pilot Study","Childhood Acute Lymphoblastic Leukemia; Childhood Lymphoblastic Lymphoma","Mayo Clinic","RECRUITING","2026-02-13","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07071051"
"NCT04047264","Feasibility of Intraoperative Microdialysis During Neurosurgery for Central Nervous System Malignancies","Glioma; Glioblastoma; Metastatic Malignant Neoplasm in the Brain","Mayo Clinic","RECRUITING","2026-02-12","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT04047264"
"NCT06764095","Enfortumab Vedotin and Pembrolizumab With Cystectomy and/or Ureterectomy for Locally Advanced or Metastatic Bladder and Upper Urothelial Tract Cancer, CAST-AI Trial","Locally Advanced Bladder Urothelial Carcinoma; Locally Advanced Renal Pelvis and Ureter Urothelial Carcinoma; Metastatic Bladder Urothelial Carcinoma; Metastatic Renal Pelvis and Ureter Urothelial Carcinoma; Stage III Bladder Cancer AJCC v8; Stage IV Bladder Cancer AJCC v8; Stage IV Renal Pelvis and Ureter Cancer AJCC v8","Mayo Clinic","RECRUITING","2026-02-12","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06764095"
"NCT06999798","An Optimized Ultrasound Twinkling Marker for the Imaging of Lymph Nodes in Patients With Clinically Node-Positive Breast Cancer, The UTMOST2 Trial","Anatomic Stage II Breast Cancer AJCC v8; Anatomic Stage III Breast Cancer AJCC v8; Anatomic Stage IV Breast Cancer AJCC v8; Locally Advanced Breast Carcinoma","Mayo Clinic","RECRUITING","2026-02-12","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06999798"
"NCT05465941","PLX038 for Treatment of Metastatic Platinum-resistant Ovarian, Primary Peritoneal, and Fallopian Tube Cancer","Platinum-Resistant Fallopian Tube Carcinoma; Platinum-Resistant Ovarian Carcinoma; Platinum-Resistant Primary Peritoneal Carcinoma; Stage IV Fallopian Tube Cancer AJCC v8; Stage IV Ovarian Cancer AJCC v8; Stage IV Primary Peritoneal Cancer AJCC v8","Mayo Clinic","RECRUITING","2026-02-09","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT05465941"
"NCT06055881","Primary Breast Oligoprogressive Sites Treated With Radiotherapy to Obviate the Need to Change Systemic Therapy","Breast Carcinoma; Anatomic Stage IV Breast Cancer AJCC v8; Metastatic Breast Cancer","Mayo Clinic","RECRUITING","2026-02-06","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06055881"
"NCT05122962","Pathophysiologic Mechanism for Arrhythmias and Impaired Aerobic Capacity in Tetralogy of Fallot and Other Congenital Heart Diseases","Tetralogy of Fallot; Congenital Heart Disease","Mayo Clinic","RECRUITING","2026-02-05","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT05122962"
